id_registro;fecha_compra;id_proveedor;nombre_proveedor;nit_proveedor;telefono_proveedor;email_proveedor;ciudad_proveedor;pais_proveedor;id_producto;nombre_producto;descripcion_producto;categoria_producto;subcategoria_producto;unidad_medida;precio_unitario;cantidad_comprada;valor_total_compra;id_bodega;nombre_bodega;ciudad_bodega;direccion_bodega;tipo_movimiento;cantidad_movimiento;stock_actual;responsable_bodega;observaciones
11;2024-04-07;4;Suministros Industriales del Norte;901234567-4;305 789 1234;suministros.norte@empresa.co;B/quilla;colombia;101;TORNILLO HEX 1/2;Tornillo metálico para uso estructural;FERRETERIA;TORNILLOS;unidad;1250;24;30000;1;BODEGA CENTRAL BOGOTA;Bogotá;Carrera 30 #15-40;EGRESO;19;299;Carlos Rodríguez;
12;2024-08-24;2;Distribuidora Electrónica Medellín;800987654-2;32-09-87-65-43;dist_electronica@gmail.com;medellin;CO;105;Pintura base agua blanca 1GL;Pintura caucho blanca;Pinturas;Pinturas;GAL;35500;187;6638500;1;Bodega Central Bogotá;BOGOTÁ;Carrera 30 #15-40;EGRESO;81;218;CARLOS RODRIGUEZ;pedido urgente
13;12 Dec 2023;5;Tecno Partes Ltda.;700345678-5;601-456-7890;tecnopartes@empresa.com;Bogota;CO;104;"Válvula de paso 1/2""";"Válvula de paso en bronce 1/2""";PLOMERIA;válvulas;und;15000;111;1665000;3;BDG SUR;cali;Av. Las Américas # 5-30;EGRESO;5;490;ANDRES GOMEZ;OK
14;28-11-2023;5;Tecno Partes Ltda.;700345678-5;601456789;tecnopartes@empresa.com;BOGOTA D.C.;Colombia;106;"Perfil Al. 1""x1""";PERFIL AL CUADRADO 1 PULG;Metales;perfiles;mts;22500;64;1440000;1;Bodega Cntrl Bogotá;Bogotá;Cra 30 # 15-40;Entrada;20;483;C. Rodríguez;Compra ordinaria
15;2023-11-10;2;Dist Electrónica MDE;800987654-2;320 987 6543;dist_electronica@gmail.com;Medellín, Ant.;CO;107;Interruptor sencillo;INTERRUPTOR 110V;Eléctrico;Controles;Uni;8500;104;884000;2;Bodega Norte Barranquilla;Barranquilla;Calle 80 # 43-20;Salida;75;59;M. Pérez;COMPRA ORDINARIA
16;18/05/2023;5;TecnoPartes Ltda;700345678-5;601456789;tecnopartes@empresa.com;Bogota;CO;103;Tubo pvc 4 pulg.;;plasticos;tuberías;M;9000;111;999000;4;BDG MEDELLIN;MEDELLIN;Carrera 50 #45-67;ingreso;30;344;L. Martínez;Revisar calidad
17;09-17-2023;4;SUMINISTROS INDUSTRIALES DEL NORTE;901234567-4;3057891234;sumnorte@gmail.com;B/quilla;COLOMBIA;108;CEMENTO GRIS 50KG;Cemento 50kg;Construcción;cementos;bto;28000;165;4620000;4;Bodega Medellín;MEDELLIN;Cra 50 # 45-67;egreso;98;453;L. Martínez;
18;2024-05-06;1;Ferretería Torres S.A.S;900123456-1;;;Bogota D.C;COLOMBIA;105;Pintura base agua blanca 1GL;;Pinturas;Acabados;gal;35000;195;6825000;4;BDG MEDELLIN;Medellín;CRA 50 45-67;egreso;25;455;L. Martínez;N/A
19;08/11/2024;3;plastiflex cali;860456789-3;;plastiflex@cali.com;Cali;Colombia;103;Tubo pvc 4 pulg.;"Tubo PVC sanitario 4""";PLASTICOS;Tuberías;ML;8800;163;1434400;1;BODEGA CENTRAL BOGOTA;Bogota;CRA 30 15-40;ingreso;143;258;C. Rodríguez;Pedido urgente
20;06-03-2023;3;PLASTIFLEX CALI LTDA.;860456789-3;3154567890;PLASTIFLEX@CALI.COM;CALI;CO;105;Pintura BL agua;Pintura de caucho base agua color blanco;pinturas;pinturas base agua;gl;;123;;1;Bodega Central Bogotá;Bogotá;Carrera 30 #15-40;egreso;27;322;C. Rodríguez;ok
21;2024-05-31;5;TECNOPARTES LTDA;700345678-5;6014567890;tecnopartes@empresa.com;Bogota;CO;107;Interruptor 1 toma;INTERRUPTOR 110V;Electrónica;Interruptores;Unidad;;94;;4;BODEGA MEDELLIN;Medellín;Cra 50 # 45-67;entrada;55;52;LUISA MARTINEZ;COMPRA ORDINARIA
22;;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist.electronica@outlook.com;Medellín, Ant.;COLOMBIA;106;"Perfil Al. 1""x1""";;Metales;PERFILES;ML;22000;70;1540000;4;BODEGA MEDELLIN;MEDELLIN;Carrera 50 #45-67;ENTRADA;43;360;L. Martínez;COMPRA ORDINARIA
23;01 Feb 2023;5;TecnoPartes Ltda;700345678-5;6014567890;tecnopartes.ltda@gmail.com;Bogotá;Colombia;101;tornillo hexagonal 1/2 pulgada;TORNILLO METALICO ESTRUCTURAL;Ferretería;Tornillos;UND;1200;9;10800;2;Bodega Norte Barranquilla;BARRANQUILLA;Clle 80 #43-20;ingreso;9;472;María Pérez;N/A
24;24 May 2023;6;Metales y aleaciones s.a;890654321-6;316-876-5432;;Bucaramanga, Sant.;Colombia;105;PINTURA BASE AGUA BLANCA;Pintura caucho blanca;PINTURAS;Pinturas;GAL;35000;148;5180000;3;BDG SUR;cali;AV LAS AMERICAS 5-30;entrada;55;384;A. Gómez;Revisar calidad
25;2023-04-02;1;ferretería torres sas;900123456-1;3101234567;ferreteria.torres@gmail.com;Bogota;Col;103;Tubo PVC 4 pulgadas;;PLASTICOS;Tubos;ML;8900;14;124600;4;Bodega MDE;MEDELLIN;Carrera 50 #45-67;salida;10;303;L. Martínez;ninguna
26;2024-05-19;3;Plastiflex Cali;860456789-3;3154567890;PLASTIFLEX@CALI.COM;Santiago de Cali;Colombia;108;Cemento gris 50kg;;Construcción;Cementos;saco;28000;169;4732000;1;Bodega Cntrl Bogotá;BOGOTÁ;Cra 30 # 15-40;EGRESO;68;81;Carlos Rodríguez;Compra ordinaria
27;30 Apr 2024;5;TecnoPartes;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogota;Colombia;108;Cemento gris 50kg;CEMENTO PORTLAND 50 KG;Materiales;CEMENTOS;bto;28500;175;4987500;4;BODEGA MEDELLIN;MEDELLIN;CRA 50 45-67;salida;26;249;L. Martínez;Compra ordinaria
28;2023-09-12;4;SUMINISTROS INDUSTRIALES DEL NORTE;901234567-4;3057891234;suministros.norte@empresa.co;Barranquilla;COLOMBIA;105;PINTURA BASE AGUA BLANCA;PINTURA CAUCHO BLANCA;PINTURAS;PINTURAS;Galon;35500;40;1420000;4;BODEGA MEDELLIN;Medellin;Cra 50 # 45-67;EGRESO;36;258;LUISA MARTINEZ;
29;2023-04-28;4;Suministros Ind. del Norte;901234567-4;305 789 1234;sumnorte@gmail.com;Bquilla;COLOMBIA;103;Tubo PVC 4 pulgadas;TUBO PVC SANITARIO 4 PULG;Plásticos;tuberías;ML;8900;181;;1;BDG CENTRAL;Bogotá;Cra 30 # 15-40;salida;175;99;CARLOS RODRIGUEZ;Revisar calidad
30;06-20-2024;2;Distribuidora Electronica Medellin;800987654-2;;dist.electronica@outlook.com;medellin;Colombia;103;TUBO PVC 4 PULGADAS;Tubo de PVC sanitario diámetro 4 pulgadas;Plomería;TUBERIAS;mt;8900;67;596300;1;BODEGA CENTRAL BOGOTA;Bogotá;Cra 30 # 15-40;entrada;31;409;C. Rodríguez;
31;2024-12-02;1;Ferreteria Torres S.A.S.;900123456-1;310 123 4567;;Bogota D.C;Col;107;Interruptor 1 toma;;Eléctrico;INTERRUPTORES;Uni;8500;138;1173000;4;Bodega MDE;Medellin;Carrera 50 #45-67;Salida;2;110;L. Martínez;Devolución parcial
32;16 Oct 2024;6;METALES Y ALEACIONES SA;890654321-6;3168765432;m.aleaciones@yahoo.com;bucaramanga;Colombia;102;CABLE UTP CAT 6;Cable red Cat6;Electrónica;Redes;metros;4500;73;328500;3;BODEGA SUR CALI;cali;Av. Americas #5-30;ENTRADA;53;270;A. Gómez;Sin observaciones
33;;2;DIST. ELECTRONICA MEDELLIN;800987654-2;32-09-87-65-43;dist_electronica@gmail.com;Medellín;COLOMBIA;102;Cable UTP Cat6;Cable red Cat6;Electrónica;Cables;m;4550;67;304850;1;Bodega Central Bogotá;Bogota;Cra 30 # 15-40;egreso;2;474;C. Rodríguez;Pedido urgente
34;28-02-2023;5;Tecno Partes Ltda.;700345678-5;;tecnopartes@empresa.com;BOGOTA D.C.;Colombia;104;válvula de paso 1/2 pulgada;;plomería;VALVULAS;Uni;15000;89;1335000;3;Bodega Sur-Cali;CALI;Av. Americas #5-30;ENTRADA;34;22;ANDRES GOMEZ;OK
35;2023-05-21;5;Tecno Partes Ltda.;700345678-5;;tecnopartes.ltda@gmail.com;BOGOTA D.C.;Colombia;102;Cable UTP CAT6;Cable red Cat6;electronica;Redes;metros;4500;39;175500;3;BODEGA SUR CALI;cali;Av. Americas #5-30;salida;16;21;A. Gómez;OK
36;16/07/2024;1;ferretería torres sas;900123456-1;310 123 4567;;Bogotá;Col;104;válvula de paso 1/2 pulgada;Válvula bronce 1/2 pulgada;Plomería;Accesorios;UND;15500;126;1953000;3;Bodega Sur-Cali;CALI;AV LAS AMERICAS 5-30;ingreso;60;334;ANDRES GOMEZ;Pedido urgente
37;2024-05-13;2;Distribuidora Electronica Medellin;800987654-2;;dist_electronica@gmail.com;Medellin;Colombia;101;TORNILLO HEX 1/2;TORNILLO METALICO ESTRUCTURAL;Ferretería;Fijaciones;unidad;1200;186;223200;4;BDG MEDELLIN;Medellín;Carrera 50 #45-67;Salida;15;93;Luisa Martínez;pedido urgente
38;2024-10-05;6;Metales y aleaciones s.a;890654321-6;316-876-5432;metales@industriacol.com;bucaramanga;Colombia;104;VALVULA PASO 1/2;"Válvula de paso en bronce 1/2""";plomería;Válvulas;Uni;15000;167;2505000;3;Bodega Sur Cali;Cali;Av. Las Américas # 5-30;EGRESO;162;27;A. Gómez;Revisar calidad
39;03-06-2024;4;Suministros Industriales del Norte;901234567-4;3057891234;;B/quilla;COLOMBIA;108;CEMENTO GRIS 50KG;Cemento portland tipo I 50 kilos;Materiales;cementos;Bulto;28500;111;3163500;3;Bodega Sur Cali;Cali;Av. Americas #5-30;SALIDA;44;94;Andrés Gómez;Reposición de stock
40;23-03-2023;2;Dist Electrónica MDE;800987654-2;3209876543;dist.electronica@outlook.com;Medellín, Ant.;Colombia;107;interruptor simple;Interruptor eléctrico sencillo 110V;eléctricos;Interruptores;Unidad;8500;189;1606500;1;BODEGA CENTRAL BOGOTA;Bogota;Cra 30 # 15-40;INGRESO;29;371;CARLOS RODRIGUEZ;Compra ordinaria
41;;5;TECNOPARTES LTDA;;;tecnopartes@empresa.com;Bogota;Colombia;102;Cable utp categoría 6;CABLE RED CAT 6;Electrónica;Redes;mt;4500;114;513000;4;Bodega MDE;Medellín;CRA 50 45-67;egreso;75;432;Luisa Martínez;N/A
42;18-07-2023;2;Distribuidora Electronica Medellin;800987654-2;;dist.electronica@outlook.com;medellin;Colombia;107;INTERRUPTOR SENCILLO;INTERRUPTOR 110V;eléctricos;interruptores;Uni;8500;123;;2;BODEGA NORTE B/QUILLA;B/quilla;Calle 80 # 43-20;Salida;43;473;MARIA PEREZ;ok
43;08-12-2023;5;TecnoPartes Ltda;700345678-5;6014567890;tecnopartes.ltda@gmail.com;Bogota;Colombia;104;"Válvula de paso 1/2""";Válvula bronce 1/2 pulgada;plomería;VALVULAS;UND;15500;33;511500;3;Bodega Sur-Cali;CALI;Av. Las Américas # 5-30;salida;5;322;A. Gómez;pedido urgente
44;;5;TECNOPARTES LTDA;;;tecnopartes.ltda@gmail.com;BOGOTA D.C.;Colombia;107;Interruptor sencillo;Interruptor 110V sencillo;eléctricos;interruptores;Unidad;8000;87;696000;3;BDG SUR;CALI;Av. Las Américas # 5-30;EGRESO;55;492;A. Gómez;pedido urgente
45;03 Jun 2023;4;Suministros Ind. del Norte;901234567-4;305 789 1234;;B/quilla;Colombia;102;Cable UTP CAT6;CABLE RED CAT 6;electronica;Cables;metros;4400;199;875600;1;BDG CENTRAL;Bogotá;Carrera 30 #15-40;EGRESO;197;129;C. Rodríguez;Revisar calidad
46;11-14-2023;1;ferretería torres sas;900123456-1;;ftorres@gmail.com;Bogota D.C;colombia;106;"Perfil de aluminio 1""x1""";Perfil aluminio cuadrado;Aluminio;Estructuras;mt;21000;17;357000;2;Bodega Norte Barranquilla;B/quilla;CL 80 43-20;INGRESO;6;69;MARIA PEREZ;COMPRA ORDINARIA
47;2023-03-30;4;SUMINISTROS INDUSTRIALES DEL NORTE;901234567-4;30-57-89-12-34;sumnorte@gmail.com;BARRANQUILLA;colombia;105;Pintura base agua blanca;PINTURA CAUCHO BLANCA;pinturas;pinturas base agua;Galón;36000;116;4176000;4;BDG MEDELLIN;MEDELLIN;Cra 50 # 45-67;salida;84;139;LUISA MARTINEZ;pedido urgente
48;2024-10-28;4;Suministros Ind. del Norte;901234567-4;30-57-89-12-34;sumnorte@gmail.com;barranquilla;Colombia;101;TORNILLO HEX 1/2;TORNILLO METALICO ESTRUCTURAL;ferretería;Tornillos;Uni;1200;61;73200;2;BDG NORTE BQ;B/quilla;Calle 80 # 43-20;ENTRADA;46;43;M. Pérez;pedido urgente
49;2024-02-13;5;Tecno Partes Ltda.;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogotá;Colombia;105;Pintura base agua blanca;Pintura caucho blanca;pinturas;Acabados;gl;;194;;3;Bodega Sur-Cali;CALI;Av. Americas #5-30;Entrada;101;494;ANDRES GOMEZ;ninguna
50;31/08/2023;6;METALES Y ALEACIONES SA;890654321-6;316-876-5432;;Bucaramanga;Colombia;101;"Tornillo Hex. 1/2""";;Ferretería;tornillos;und;1200;93;104252,0747;2;BODEGA NORTE B/QUILLA;BARRANQUILLA;Calle 80 # 43-20;Entrada;6;318;María Pérez;Reposición de stock
51;14/02/2024;4;Suministros Ind. del Norte;901234567-4;3057891234;sumnorte@gmail.com;BARRANQUILLA;COLOMBIA;106;perfil aluminio 1 pulgada x 1 pulgada;;Aluminio;PERFILES;mt;21000;49;;2;Bodega Norte Barranquilla;B/quilla;CL 80 43-20;entrada;20;189;MARIA PEREZ;ok
52;26 Mar 2024;5;TecnoPartes;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogotá;Colombia;105;PINTURA BASE AGUA BLANCA;Pintura caucho blanca;PINTURAS;PINTURAS;gal;35000;169;5915000;1;Bodega Central Bogotá;BOGOTÁ;CRA 30 15-40;ingreso;149;367;CARLOS RODRIGUEZ;OK
53;10 Jan 2024;2;Dist Electrónica MDE;800987654-2;320 987 6543;dist_electronica@gmail.com;Medellín, Ant.;CO;106;"Perfil Al. 1""x1""";Perfil de aluminio cuadrado 1 pulgada;Metales;perfiles;mt;21000;8;168000;2;Bodega Norte Barranquilla;B/quilla;Clle 80 #43-20;entrada;7;164;María Pérez;Pedido urgente
54;26/01/2023;6;METALES Y ALEACIONES SA;890654321-6;316 876 54 32;metales@industriacol.com;Bucaramanga;Colombia;106;"Perfil de aluminio 1""x1""";;METALES;Perfiles;ML;22500;151;3397500;3;Bodega Sur-Cali;Cali;Av. Americas #5-30;ENTRADA;76;92;ANDRES GOMEZ;Revisar calidad
55;2023-03-09;5;Tecno Partes Ltda.;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogota;Colombia;105;Pintura BL agua;PINTURA CAUCHO BLANCA;pinturas;Acabados;gal;35000;79;2765000;3;BODEGA SUR CALI;Cali;Av. Las Américas # 5-30;EGRESO;61;201;Andrés Gómez;
56;03-12-2023;1;Ferreteria Torres S.A.S.;900123456-1;310-123-4567;ftorres@gmail.com;bogota, d.c.;Col;107;Interruptor sencillo;Interruptor 110V sencillo;Electrónica;Interruptores;UND;;44;;3;BODEGA SUR CALI;CALI;AV LAS AMERICAS 5-30;SALIDA;42;175;A. Gómez;N/A
57;2023-04-27;5;TecnoPartes;700345678-5;601-456-7890;tecnopartes@empresa.com;Bogota;CO;102;Cable utp categoría 6;CABLE RED CAT 6;Electrónica e IT;Cables;mt;4500;125;562500;2;BODEGA NORTE B/QUILLA;B/quilla;CL 80 43-20;Salida;100;22;MARIA PEREZ;
58;04 Mar 2023;1;Ferreteria Torres S.A.S.;900123456-1;3101234567;;BOGOTÁ;COLOMBIA;106;"Perfil de aluminio 1""x1""";;metales;perfiles;ML;23000;34;782000;2;BODEGA NORTE B/QUILLA;B/quilla;CL 80 43-20;EGRESO;24;438;MARIA PEREZ;Reposición de stock
59;02 May 2023;1;ferretería torres sas;900123456-1;310 123 4567;ftorres@gmail.com;bogota, d.c.;COLOMBIA;102;Cable UTP CAT6;Cable de red categoría 6 para datos;Electrónica e IT;CABLES;m;4500;67;301500;2;Bodega Norte Barranquilla;BARRANQUILLA;CL 80 43-20;egreso;26;392;M. Pérez;Pedido urgente
60;2024-03-28;2;DIST. ELECTRONICA MEDELLIN;800987654-2;32-09-87-65-43;electronicamedellin@hotmail.com;Medellin;CO;104;VALVULA PASO 1/2;;Ferretería;Válvulas;UND;15000;16;240000;2;Bodega Norte Barranquilla;Barranquilla;Clle 80 #43-20;EGRESO;14;333;MARIA PEREZ;N/A
61;08 Apr 2024;3;plastiflex cali;860456789-3;;plastiflex@cali.com;Cali, Valle;CO;106;"Perfil de aluminio 1""x1""";;METALES;Estructuras;ML;23000;157;3611000;3;Bodega Sur Cali;CALI;Av. Americas #5-30;EGRESO;153;121;A. Gómez;
62;10-10-2023;1;ferretería torres sas;;310 123 4567;ftorres@gmail.com;BOGOTÁ;COLOMBIA;102;CABLE UTP CAT 6;Cable red Cat6;electronica;Cables;mt;4400;77;338800;2;Bodega Norte Barranquilla;Barranquilla;Calle 80 # 43-20;entrada;27;106;María Pérez;N/A
63;11-09-2023;2;Dist Electrónica MDE;800987654-2;320 987 6543;dist_electronica@gmail.com;Medellín;CO;101;tornillo hexagonal 1/2 pulgada;TORNILLO METALICO ESTRUCTURAL;Ferretería;Fijaciones;UND;1150;144;165600;2;Bodega Norte Barranquilla;B/quilla;CL 80 43-20;Entrada;103;187;MARIA PEREZ;
64;2024-12-01;1;ferretería torres sas;900123456-1;3101234567;ftorres@gmail.com;bogota, d.c.;Colombia;108;Cemento gris 50kg;Cemento portland tipo I 50 kilos;Materiales;Aglomerantes;Bulto;28000;24;672000;4;BODEGA MEDELLIN;Medellin;Carrera 50 #45-67;Salida;21;26;L. Martínez;Reposición de stock
65;2024-06-27;1;Ferretería Torres S.A.S;900123456-1;;;Bogota D.C;Colombia;104;válvula de paso 1/2 pulgada;"Válvula de paso en bronce 1/2""";plomería;VALVULAS;Unidad;15500;97;1503500;4;Bodega Medellín;Medellin;Cra 50 # 45-67;salida;34;362;L. Martínez;Reposición de stock
66;2024-03-20;2;DIST. ELECTRONICA MEDELLIN;800987654-2;32-09-87-65-43;electronicamedellin@hotmail.com;Medellín;COLOMBIA;101;TORNILLO HEX 1/2;TORNILLO METALICO ESTRUCTURAL;Ferretería;TORNILLOS;Uni;1300;21;27300;1;BODEGA CENTRAL BOGOTA;BOGOTÁ;Cra 30 # 15-40;entrada;18;42;Carlos Rodríguez;ok
67;01-23-2023;1;Ferretería Torres S.A.S;900123456-1;310 123 4567;;Bogota;COLOMBIA;105;Pintura base agua blanca;;pinturas;PINTURAS;Galón;35000;119;4165000;1;BDG CENTRAL;BOGOTÁ;CRA 30 15-40;entrada;32;163;C. Rodríguez;COMPRA ORDINARIA
68;20/06/2023;6;METALES Y ALEACIONES SA;890654321-6;316-876-5432;m.aleaciones@yahoo.com;Bucaramanga, Sant.;Colombia;108;cemento 50 kilos;CEMENTO PORTLAND 50 KG;construcción;cementos;BTO;28000;11;308000;2;Bodega Norte Barranquilla;B/quilla;CL 80 43-20;ENTRADA;7;88;María Pérez;N/A
69;25 May 2023;2;Distribuidora Electronica Medellin;800987654-2;32-09-87-65-43;dist_electronica@gmail.com;Medellin;CO;103;"Tubo PVC 4""";Tubo de PVC sanitario diámetro 4 pulgadas;plasticos;Tubos;mt;8900;126;1121400;3;Bodega Sur-Cali;cali;Av. Americas #5-30;egreso;103;399;Andrés Gómez;pedido urgente
70;23 Jan 2024;6;METALES Y ALEACIONES SA;890654321-6;316 876 54 32;;bucaramanga;col;106;"Perfil Al. 1""x1""";Perfil de aluminio cuadrado 1 pulgada;metales;Estructuras;Metro;22000;153;3366000;3;BODEGA SUR CALI;CALI;AV LAS AMERICAS 5-30;ingreso;100;70;Andrés Gómez;OK
71;01-15-2024;4;Sum. Industriales Norte;901234567-4;30-57-89-12-34;suministros.norte@empresa.co;BARRANQUILLA;COLOMBIA;102;CABLE UTP CAT 6;Cable de red categoría 6 para datos;ELECTRONICA;Redes;Metro;4600;177;814200;4;Bodega MDE;Medellin;CRA 50 45-67;salida;121;159;LUISA MARTINEZ;ninguna
72;;2;Dist Electrónica MDE;800987654-2;320 987 6543;dist.electronica@outlook.com;MEDELLIN;CO;103;"Tubo PVC 4""";Tubo de PVC sanitario diámetro 4 pulgadas;Plásticos;tuberías;mts;9000;80;720000;3;Bodega Sur-Cali;Cali;Av. Las Américas # 5-30;entrada;65;197;Andrés Gómez;
73;29 Jun 2023;3;Plastiflex Cali Ltda;860456789-3;3154567890;plastiflex@cali.com;Cali;CO;104;válvula de paso 1/2 pulgada;VALVULA BRONCE 1/2;Ferretería;válvulas;Uni;15000;110;1650000;1;BDG CENTRAL;Bogotá;CRA 30 15-40;ingreso;42;338;C. Rodríguez;Devolución parcial
74;;4;Suministros Industriales del Norte;901234567-4;305 789 1234;sumnorte@gmail.com;B/quilla;colombia;102;Cable UTP Cat6;;Electrónica;Redes;MTS;4550;70;318500;1;Bodega Central Bogotá;Bogotá;Carrera 30 #15-40;INGRESO;35;255;Carlos Rodríguez;COMPRA ORDINARIA
75;2024-03-25;6;METALES Y ALEACIONES SA;890654321-6;316-876-5432;m.aleaciones@yahoo.com;Bucaramanga, Sant.;Colombia;103;"Tubo PVC 4""";TUBO PVC SANITARIO 4 PULG;PLASTICOS;Tuberías;ML;;13;;3;Bodega Sur Cali;CALI;AV LAS AMERICAS 5-30;INGRESO;2;93;A. Gómez;pedido urgente
76;2023-08-28;1;Ferreteria Torres S.A.S.;900123456-1;310-123-4567;ferreteria.torres@gmail.com;Bogota;colombia;104;"Valvula paso 1/2""";"Válvula de paso en bronce 1/2""";plomería;VALVULAS;und;15000;100;1500000;4;BDG MEDELLIN;Medellin;Cra 50 # 45-67;ENTRADA;46;142;L. Martínez;ninguna
77;05 May 2023;4;SUMINISTROS INDUSTRIALES DEL NORTE;;3057891234;;Barranquilla;Colombia;103;"Tubo PVC 4""";Tubo de PVC sanitario diámetro 4 pulgadas;PLASTICOS;Tubos;M;8900;175;1557500;3;Bodega Sur-Cali;Cali;Av. Americas #5-30;entrada;95;55;Andrés Gómez;ok
78;11-24-2023;5;TECNOPARTES LTDA;;601-456-7890;tecnopartes@empresa.com;Bogota;Colombia;102;Cable UTP Cat6;CABLE RED CAT 6;electronica;Cables;MTS;4600;106;487600;1;BODEGA CENTRAL BOGOTA;BOGOTÁ;Cra 30 # 15-40;Salida;90;465;Carlos Rodríguez;pedido urgente
79;07-11-2023;2;Dist Electrónica MDE;800987654-2;320 987 6543;electronicamedellin@hotmail.com;MEDELLIN;Colombia;106;perfil aluminio 1 pulgada x 1 pulgada;Perfil aluminio cuadrado;Aluminio;Perfiles;mts;22500;189;4252500;1;BDG CENTRAL;BOGOTÁ;CRA 30 15-40;Salida;117;248;C. Rodríguez;OK
80;12/06/2023;6;Met. & Aleaciones S.A.;890654321-6;3168765432;;BUCARAMANGA;col;105;Pintura base agua blanca 1GL;Pintura caucho blanca;PINTURAS;PINTURAS;gal;34000;120;4080000;2;BDG NORTE BQ;Barranquilla;Calle 80 # 43-20;Salida;115;236;María Pérez;
6;2024-06-17;5;TECNOPARTES LTDA;700345678-5;601-456-7890;tecnopartes.ltda@gmail.com;BOGOTA D.C.;Colombia;108;Cemento gris 50kg;;construcción;cementos;BTO;27000;184;4968000;1;Bodega Cntrl Bogotá;BOGOTÁ;CRA 30 15-40;entrada;138;36;CARLOS RODRIGUEZ;N/A
