id_registro;fecha_compra;id_proveedor;nombre_proveedor;nit_proveedor;telefono_proveedor;email_proveedor;ciudad_proveedor;pais_proveedor;id_producto;nombre_producto;descripcion_producto;categoria_producto;subcategoria_producto;unidad_medida;precio_unitario;cantidad_comprada;valor_total_compra;id_bodega;nombre_bodega;ciudad_bodega;direccion_bodega;tipo_movimiento;cantidad_movimiento;stock_actual;responsable_bodega;observaciones;fecha_compra_raw;nombre_proveedor_raw;ciudad_proveedor_raw;pais_proveedor_raw;nombre_bodega_raw;ciudad_bodega_raw;tipo_movimiento_raw;unidad_medida_raw;telefono_proveedor_raw;fecha_ambigua
23;2023-02-01;5;Tecno Partes Ltda.;700345678-5;6014567890;tecnopartes.ltda@gmail.com;Bogotá;Colombia;101;tornillo hexagonal 1/2 pulgada;TORNILLO METALICO ESTRUCTURAL;Ferretería;Tornillos;UND;1200.0;9;10800.0;2;Bodega Norte Barranquilla;Barranquilla;Clle 80 #43-20;Entrada;9;472;María Pérez;\N;01 Feb 2023;TecnoPartes Ltda;Bogotá;Colombia;Bodega Norte Barranquilla;BARRANQUILLA;ingreso;UND;6014567890;False
24;2023-05-24;6;Metales y Aleaciones S.A.;890654321-6;3168765432;\N;Bucaramanga;Colombia;105;PINTURA BASE AGUA BLANCA;Pintura caucho blanca;PINTURAS;Pinturas;GAL;35000.0;148;5180000.0;3;Bdg Sur;Cali;AV LAS AMERICAS 5-30;Entrada;55;384;A. Gómez;Revisar calidad;24 May 2023;Metales y aleaciones s.a;Bucaramanga, Sant.;Colombia;BDG SUR;cali;entrada;GAL;316-876-5432;False
25;2023-04-02;1;Ferretería Torres Sas;900123456-1;3101234567;ferreteria.torres@gmail.com;Bogotá;Colombia;103;Tubo PVC 4 pulgadas;\N;PLASTICOS;Tubos;ML;8900.0;14;124600.0;4;Bodega Medellín;Medellín;Carrera 50 #45-67;Salida;10;303;L. Martínez;ninguna;2023-04-02;ferretería torres sas;Bogota;Col;Bodega MDE;MEDELLIN;salida;ML;3101234567;False
26;2024-05-19;3;Plastiflex Cali Ltda.;860456789-3;3154567890;plastiflex@cali.com;Cali;Colombia;108;Cemento gris 50kg;\N;Construcción;Cementos;BTO;28000.0;169;4732000.0;1;Bodega Cntrl Bogotá;Bogotá;Cra 30 # 15-40;Salida;68;81;Carlos Rodríguez;Compra ordinaria;2024-05-19;Plastiflex Cali;Santiago de Cali;Colombia;Bodega Cntrl Bogotá;BOGOTÁ;EGRESO;saco;3154567890;False
27;2024-04-30;5;Tecno Partes Ltda.;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogotá;Colombia;108;Cemento gris 50kg;CEMENTO PORTLAND 50 KG;Materiales;CEMENTOS;BTO;28500.0;175;4987500.0;4;Bodega Medellín;Medellín;CRA 50 45-67;Salida;26;249;L. Martínez;Compra ordinaria;30 Apr 2024;TecnoPartes;Bogota;Colombia;BODEGA MEDELLIN;MEDELLIN;salida;bto;601456789;False
28;2023-09-12;4;Suministros Industriales del Norte;901234567-4;3057891234;suministros.norte@empresa.co;Barranquilla;Colombia;105;PINTURA BASE AGUA BLANCA;PINTURA CAUCHO BLANCA;PINTURAS;PINTURAS;GAL;35500.0;40;1420000.0;4;Bodega Medellín;Medellín;Cra 50 # 45-67;Salida;36;258;LUISA MARTINEZ;\N;2023-09-12;SUMINISTROS INDUSTRIALES DEL NORTE;Barranquilla;COLOMBIA;BODEGA MEDELLIN;Medellin;EGRESO;Galon;3057891234;False
29;2023-04-28;4;Suministros Industriales del Norte;901234567-4;3057891234;sumnorte@gmail.com;Barranquilla;Colombia;103;Tubo PVC 4 pulgadas;TUBO PVC SANITARIO 4 PULG;Plásticos;tuberías;ML;8900.0;181;\N;1;Bodega Central Bogotá;Bogotá;Cra 30 # 15-40;Salida;175;99;CARLOS RODRIGUEZ;Revisar calidad;2023-04-28;Suministros Ind. del Norte;Bquilla;COLOMBIA;BDG CENTRAL;Bogotá;salida;ML;305 789 1234;False
30;2024-06-20;2;Distribuidora Electrónica Medellín;800987654-2;\N;dist.electronica@outlook.com;Medellín;Colombia;103;TUBO PVC 4 PULGADAS;Tubo de PVC sanitario diámetro 4 pulgadas;Plomería;TUBERIAS;M;8900.0;67;596300.0;1;Bodega Central Bogotá;Bogotá;Cra 30 # 15-40;Entrada;31;409;C. Rodríguez;\N;06-20-2024;Distribuidora Electronica Medellin;medellin;Colombia;BODEGA CENTRAL BOGOTA;Bogotá;entrada;mt;\N;True
31;2024-12-02;1;Ferreteria Torres S.A.S.;900123456-1;3101234567;\N;Bogotá;Colombia;107;Interruptor 1 toma;\N;Eléctrico;INTERRUPTORES;UND;8500.0;138;1173000.0;4;Bodega Medellín;Medellín;Carrera 50 #45-67;Salida;2;110;L. Martínez;Devolución parcial;2024-12-02;Ferreteria Torres S.A.S.;Bogota D.C;Col;Bodega MDE;Medellin;Salida;Uni;310 123 4567;False
32;2024-10-16;6;Metales y Aleaciones S.A.;890654321-6;3168765432;m.aleaciones@yahoo.com;Bucaramanga;Colombia;102;CABLE UTP CAT 6;Cable red Cat6;Electrónica;Redes;M;4500.0;73;328500.0;3;Bodega Sur Cali;Cali;Av. Americas #5-30;Entrada;53;270;A. Gómez;Sin observaciones;16 Oct 2024;METALES Y ALEACIONES SA;bucaramanga;Colombia;BODEGA SUR CALI;cali;ENTRADA;metros;3168765432;False
33;\N;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist_electronica@gmail.com;Medellín;Colombia;102;Cable UTP Cat6;Cable red Cat6;Electrónica;Cables;M;4550.0;67;304850.0;1;Bodega Central Bogotá;Bogotá;Cra 30 # 15-40;Salida;2;474;C. Rodríguez;Pedido urgente;\N;DIST. ELECTRONICA MEDELLIN;Medellín;COLOMBIA;Bodega Central Bogotá;Bogota;egreso;m;32-09-87-65-43;False
34;2023-02-28;5;Tecno Partes Ltda.;700345678-5;\N;tecnopartes@empresa.com;Bogotá;Colombia;104;válvula de paso 1/2 pulgada;\N;plomería;VALVULAS;UND;15000.0;89;1335000.0;3;Bodega Sur Cali;Cali;Av. Americas #5-30;Entrada;34;22;ANDRES GOMEZ;OK;28-02-2023;Tecno Partes Ltda.;BOGOTA D.C.;Colombia;Bodega Sur-Cali;CALI;ENTRADA;Uni;\N;True
35;2023-05-21;5;Tecno Partes Ltda.;700345678-5;\N;tecnopartes.ltda@gmail.com;Bogotá;Colombia;102;Cable UTP CAT6;Cable red Cat6;electronica;Redes;M;4500.0;39;175500.0;3;Bodega Sur Cali;Cali;Av. Americas #5-30;Salida;16;21;A. Gómez;OK;2023-05-21;Tecno Partes Ltda.;BOGOTA D.C.;Colombia;BODEGA SUR CALI;cali;salida;metros;\N;False
36;2024-07-16;1;Ferretería Torres Sas;900123456-1;3101234567;\N;Bogotá;Colombia;104;válvula de paso 1/2 pulgada;Válvula bronce 1/2 pulgada;Plomería;Accesorios;UND;15500.0;126;1953000.0;3;Bodega Sur Cali;Cali;AV LAS AMERICAS 5-30;Entrada;60;334;ANDRES GOMEZ;Pedido urgente;16/07/2024;ferretería torres sas;Bogotá;Col;Bodega Sur-Cali;CALI;ingreso;UND;310 123 4567;False
37;2024-05-13;2;Distribuidora Electrónica Medellín;800987654-2;\N;dist_electronica@gmail.com;Medellín;Colombia;101;TORNILLO HEX 1/2;TORNILLO METALICO ESTRUCTURAL;Ferretería;Fijaciones;UND;1200.0;186;223200.0;4;Bodega Medellín;Medellín;Carrera 50 #45-67;Salida;15;93;Luisa Martínez;pedido urgente;2024-05-13;Distribuidora Electronica Medellin;Medellin;Colombia;BDG MEDELLIN;Medellín;Salida;unidad;\N;False
38;2024-10-05;6;Metales y Aleaciones S.A.;890654321-6;3168765432;metales@industriacol.com;Bucaramanga;Colombia;104;VALVULA PASO 1/2;"Válvula de paso en bronce 1/2""";plomería;Válvulas;UND;15000.0;167;2505000.0;3;Bodega Sur Cali;Cali;Av. Las Américas # 5-30;Salida;162;27;A. Gómez;Revisar calidad;2024-10-05;Metales y aleaciones s.a;bucaramanga;Colombia;Bodega Sur Cali;Cali;EGRESO;Uni;316-876-5432;False
39;2024-06-03;4;Suministros Industriales del Norte;901234567-4;3057891234;\N;B/Quilla;Colombia;108;CEMENTO GRIS 50KG;Cemento portland tipo I 50 kilos;Materiales;cementos;BTO;28500.0;111;3163500.0;3;Bodega Sur Cali;Cali;Av. Americas #5-30;Salida;44;94;Andrés Gómez;Reposición de stock;03-06-2024;Suministros Industriales del Norte;B/quilla;COLOMBIA;Bodega Sur Cali;Cali;SALIDA;Bulto;3057891234;True
40;2023-03-23;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist.electronica@outlook.com;Medellín;Colombia;107;interruptor simple;Interruptor eléctrico sencillo 110V;eléctricos;Interruptores;UND;8500.0;189;1606500.0;1;Bodega Central Bogotá;Bogotá;Cra 30 # 15-40;Entrada;29;371;CARLOS RODRIGUEZ;Compra ordinaria;23-03-2023;Dist Electrónica MDE;Medellín, Ant.;Colombia;BODEGA CENTRAL BOGOTA;Bogota;INGRESO;Unidad;3209876543;True
41;\N;5;Tecno Partes Ltda.;\N;\N;tecnopartes@empresa.com;Bogotá;Colombia;102;Cable utp categoría 6;CABLE RED CAT 6;Electrónica;Redes;M;4500.0;114;513000.0;4;Bodega Medellín;Medellín;CRA 50 45-67;Salida;75;432;Luisa Martínez;\N;\N;TECNOPARTES LTDA;Bogota;Colombia;Bodega MDE;Medellín;egreso;mt;\N;False
42;2023-07-18;2;Distribuidora Electrónica Medellín;800987654-2;\N;dist.electronica@outlook.com;Medellín;Colombia;107;INTERRUPTOR SENCILLO;INTERRUPTOR 110V;eléctricos;interruptores;UND;8500.0;123;\N;2;Bodega Norte B/Quilla;B/Quilla;Calle 80 # 43-20;Salida;43;473;MARIA PEREZ;ok;18-07-2023;Distribuidora Electronica Medellin;medellin;Colombia;BODEGA NORTE B/QUILLA;B/quilla;Salida;Uni;\N;True
43;2023-12-08;5;Tecno Partes Ltda.;700345678-5;6014567890;tecnopartes.ltda@gmail.com;Bogotá;Colombia;104;"Válvula de paso 1/2""";Válvula bronce 1/2 pulgada;plomería;VALVULAS;UND;15500.0;33;511500.0;3;Bodega Sur Cali;Cali;Av. Las Américas # 5-30;Salida;5;322;A. Gómez;pedido urgente;08-12-2023;TecnoPartes Ltda;Bogota;Colombia;Bodega Sur-Cali;CALI;salida;UND;6014567890;True
44;\N;5;Tecno Partes Ltda.;\N;\N;tecnopartes.ltda@gmail.com;Bogotá;Colombia;107;Interruptor sencillo;Interruptor 110V sencillo;eléctricos;interruptores;UND;8000.0;87;696000.0;3;Bdg Sur;Cali;Av. Las Américas # 5-30;Salida;55;492;A. Gómez;pedido urgente;\N;TECNOPARTES LTDA;BOGOTA D.C.;Colombia;BDG SUR;CALI;EGRESO;Unidad;\N;False
45;2023-06-03;4;Suministros Industriales del Norte;901234567-4;3057891234;\N;B/Quilla;Colombia;102;Cable UTP CAT6;CABLE RED CAT 6;electronica;Cables;M;4400.0;199;875600.0;1;Bodega Central Bogotá;Bogotá;Carrera 30 #15-40;Salida;197;129;C. Rodríguez;Revisar calidad;03 Jun 2023;Suministros Ind. del Norte;B/quilla;Colombia;BDG CENTRAL;Bogotá;EGRESO;metros;305 789 1234;False
46;2023-11-14;1;Ferretería Torres Sas;900123456-1;\N;ftorres@gmail.com;Bogotá;Colombia;106;"Perfil de aluminio 1""x1""";Perfil aluminio cuadrado;Aluminio;Estructuras;M;21000.0;17;357000.0;2;Bodega Norte Barranquilla;B/Quilla;CL 80 43-20;Entrada;6;69;MARIA PEREZ;COMPRA ORDINARIA;11-14-2023;ferretería torres sas;Bogota D.C;colombia;Bodega Norte Barranquilla;B/quilla;INGRESO;mt;\N;True
47;2023-03-30;4;Suministros Industriales del Norte;901234567-4;3057891234;sumnorte@gmail.com;Barranquilla;Colombia;105;Pintura base agua blanca;PINTURA CAUCHO BLANCA;pinturas;pinturas base agua;GAL;36000.0;116;4176000.0;4;Bodega Medellín;Medellín;Cra 50 # 45-67;Salida;84;139;LUISA MARTINEZ;pedido urgente;2023-03-30;SUMINISTROS INDUSTRIALES DEL NORTE;BARRANQUILLA;colombia;BDG MEDELLIN;MEDELLIN;salida;Galón;30-57-89-12-34;False
48;2024-10-28;4;Suministros Industriales del Norte;901234567-4;3057891234;sumnorte@gmail.com;Barranquilla;Colombia;101;TORNILLO HEX 1/2;TORNILLO METALICO ESTRUCTURAL;ferretería;Tornillos;UND;1200.0;61;73200.0;2;Bodega Norte Barranquilla;B/Quilla;Calle 80 # 43-20;Entrada;46;43;M. Pérez;pedido urgente;2024-10-28;Suministros Ind. del Norte;barranquilla;Colombia;BDG NORTE BQ;B/quilla;ENTRADA;Uni;30-57-89-12-34;False
49;2024-02-13;5;Tecno Partes Ltda.;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogotá;Colombia;105;Pintura base agua blanca;Pintura caucho blanca;pinturas;Acabados;GL;\N;194;\N;3;Bodega Sur Cali;Cali;Av. Americas #5-30;Entrada;101;494;ANDRES GOMEZ;ninguna;2024-02-13;Tecno Partes Ltda.;Bogotá;Colombia;Bodega Sur-Cali;CALI;Entrada;gl;601456789;False
50;2023-08-31;6;Metales y Aleaciones S.A.;890654321-6;3168765432;\N;Bucaramanga;Colombia;101;"Tornillo Hex. 1/2""";\N;Ferretería;tornillos;UND;1200.0;93;104252.0747;2;Bodega Norte B/Quilla;Barranquilla;Calle 80 # 43-20;Entrada;6;318;María Pérez;Reposición de stock;31/08/2023;METALES Y ALEACIONES SA;Bucaramanga;Colombia;BODEGA NORTE B/QUILLA;BARRANQUILLA;Entrada;und;316-876-5432;False
51;2024-02-14;4;Suministros Industriales del Norte;901234567-4;3057891234;sumnorte@gmail.com;Barranquilla;Colombia;106;perfil aluminio 1 pulgada x 1 pulgada;\N;Aluminio;PERFILES;M;21000.0;49;\N;2;Bodega Norte Barranquilla;B/Quilla;CL 80 43-20;Entrada;20;189;MARIA PEREZ;ok;14/02/2024;Suministros Ind. del Norte;BARRANQUILLA;COLOMBIA;Bodega Norte Barranquilla;B/quilla;entrada;mt;3057891234;False
52;2024-03-26;5;Tecno Partes Ltda.;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogotá;Colombia;105;PINTURA BASE AGUA BLANCA;Pintura caucho blanca;PINTURAS;PINTURAS;GAL;35000.0;169;5915000.0;1;Bodega Central Bogotá;Bogotá;CRA 30 15-40;Entrada;149;367;CARLOS RODRIGUEZ;OK;26 Mar 2024;TecnoPartes;Bogotá;Colombia;Bodega Central Bogotá;BOGOTÁ;ingreso;gal;601456789;False
53;2024-01-10;2;Distribuidora Electrónica Medellín;800987654-2;3209876543;dist_electronica@gmail.com;Medellín;Colombia;106;"Perfil Al. 1""x1""";Perfil de aluminio cuadrado 1 pulgada;Metales;perfiles;M;21000.0;8;168000.0;2;Bodega Norte Barranquilla;B/Quilla;Clle 80 #43-20;Entrada;7;164;María Pérez;Pedido urgente;10 Jan 2024;Dist Electrónica MDE;Medellín, Ant.;CO;Bodega Norte Barranquilla;B/quilla;entrada;mt;320 987 6543;False
54;2023-01-26;6;Metales y Aleaciones S.A.;890654321-6;3168765432;metales@industriacol.com;Bucaramanga;Colombia;106;"Perfil de aluminio 1""x1""";\N;METALES;Perfiles;ML;22500.0;151;3397500.0;3;Bodega Sur Cali;Cali;Av. Americas #5-30;Entrada;76;92;ANDRES GOMEZ;Revisar calidad;26/01/2023;METALES Y ALEACIONES SA;Bucaramanga;Colombia;Bodega Sur-Cali;Cali;ENTRADA;ML;316 876 54 32;False
55;2023-03-09;5;Tecno Partes Ltda.;700345678-5;601456789;tecnopartes.ltda@gmail.com;Bogotá;Colombia;105;Pintura BL agua;PINTURA CAUCHO BLANCA;pinturas;Acabados;GAL;35000.0;79;2765000.0;3;Bodega Sur Cali;Cali;Av. Las Américas # 5-30;Salida;61;201;Andrés Gómez;\N;2023-03-09;Tecno Partes Ltda.;Bogota;Colombia;BODEGA SUR CALI;Cali;EGRESO;gal;601456789;False
56;2023-12-03;1;Ferreteria Torres S.A.S.;900123456-1;3101234567;ftorres@gmail.com;Bogota, D.C.;Colombia;107;Interruptor sencillo;Interruptor 110V sencillo;Electrónica;Interruptores;UND;\N;44;\N;3;Bodega Sur Cali;Cali;AV LAS AMERICAS 5-30;Salida;42;175;A. Gómez;\N;03-12-2023;Ferreteria Torres S.A.S.;bogota, d.c.;Col;BODEGA SUR CALI;CALI;SALIDA;UND;310-123-4567;True
